"Existing","Recommended","onewaysummary","Change","costperm"
"Living Street 0 lane lane 0","None","Two Way","downgrade",0
"Main Road - Cycling Allowed 0 no track 0","Stepped Cycle Tracks","Two Way","upgrade (one side)",480
"Main Road - Cycling Allowed 0 lane no 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Main Road - Cycling Allowed 0 no lane 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Main Road - Cycling Allowed 0 no no 0","None","One Way - Two Way Cycling","no change",0
"Living Street 0 no no 0","Cycle Street","One Way - Two Way Cycling","no change",0
"Main Road - Cycling Allowed 0 lane lane 0","Cycle Street","One Way - Two Way Cycling","downgrade",0
"Living Street 0 no lane 0","Cycle Street","One Way","no change",0
"Minor Road - Cycling Allowed 1 share_busway share_busway 1","Cycle Street","One Way","no change",0
"Trunk Road - Cycling Allowed 1 share_busway no 0","Segregated Cycle Track","Two Way","upgrade (both sides)",1450
"Minor Road - Cycling Allowed 0 lane no 0","Cycle Street","One Way","no change",0
"Trunk Road - Cycling Allowed 0 track no 0","Segregated Cycle Track","One Way","no change",0
"Trunk Road - Cycling Allowed 0 no track 0","None","Two Way","downgrade",0
"Trunk Road - Cycling Allowed 0 track no 0","Cycle Lanes","One Way","downgrade",0
"Main Road - Cycling Allowed 0 track no 0","Cycle Lanes","One Way","downgrade",0
"Main Road - Cycling Allowed 0 track lane 0","Stepped Cycle Tracks","Two Way","upgrade (one side)",480
"Main Road - Cycling Allowed 0 lane share_busway 1","Cycle Lanes","Two Way","no change",0
"Main Road Link - Cycling Allowed 0 lane no 0","Cycle Street","One Way","no change",0
"Trunk Road Link - Cycling Allowed 0 track no 0","None","One Way","downgrade",0
"Main Road - Cycling Allowed 1 share_busway track 0","Stepped Cycle Tracks","Two Way","upgrade (one side)",480
"Main Road - Cycling Allowed 1 share_busway track 0","None","Two Way","downgrade",0
"Living Street 0 no no 0","Cycle Lanes","Two Way","upgrade (both sides)",460
"Main Road - Cycling Allowed 0 track share_busway 1","None","Two Way","downgrade",0
"Main Road Link - Cycling Allowed 1 share_busway no 0","Cycle Lanes","Two Way","upgrade (one side)",180
"Residential Road - Cycling Allowed 0 no track 0","None","One Way - Two Way Cycling","downgrade",0
"Main Road - Cycling Allowed 0 track track 0","Cycle Lanes","One Way","downgrade",0
"Trunk Road Link - Cycling Allowed 0 no no 0","Cycle Street","One Way","upgrade (one side)",15
"Minor Road - Cycling Allowed 0 no track 0","None","One Way - Two Way Cycling","downgrade",0
"Main Road - Cycling Allowed 1 share_busway track 0","Cycle Lanes","Two Way","downgrade",0
"Main Road Link - Cycling Allowed 0 lane no 0","Stepped Cycle Tracks","One Way","upgrade (one side)",480
"Main Road - Cycling Allowed 0 track share_busway 1","Stepped Cycle Tracks","Two Way","upgrade (one side)",480
"Main Road - Cycling Allowed 1 share_busway lane 0","Cycle Lanes","Two Way","no change",0
"Residential Road - Cycling Allowed 0 no track 0","Cycle Street","One Way - Two Way Cycling","upgrade (one side)",15
"Main Road - Cycling Allowed 0 track lane 0","Cycle Street","Two Way","downgrade",0
"Main Road - Cycling Allowed 0 track lane 0","Cycle Lanes","Two Way","downgrade",0
"Trunk Road Link - Cycling Allowed 0 no no 0","Cycle Street","Two Way","upgrade (both sides)",15
"Residential Road - Cycling Allowed 0 track no 0","None","One Way","downgrade",0
"Main Road - Cycling Allowed 0 no lane 0","Cycle Street","One Way","upgrade (one side)",15
"Living Street 1 share_busway no 0","None","Two Way","downgrade",0
"Minor Road - Cycling Allowed 0 no lane 0","Cycle Lanes","One Way - Two Way Cycling","upgrade (one side)",180
"Main Road - Cycling Allowed 0 track track 0","Cycle Lanes with light segregation","Two Way","downgrade",0
"Minor Road - Cycling Allowed 0 track track 0","Cycle Street","One Way","no change",0
"Main Road - Cycling Allowed 0 track share_busway 1","Segregated Cycle Track","Two Way","upgrade (one side)",725
"Minor Road - Cycling Allowed 0 no track 0","Cycle Lanes","Two Way","upgrade (one side)",180
